Ax,Ay,Az,Gx,Gy,Gz
-0.29,-1.19,0.34,0.02,-0.10,1.24
-0.35,-1.28,0.33,-0.21,-0.54,1.00
-0.40,-1.37,0.23,-0.35,-0.78,0.56
-0.41,-1.38,0.16,-0.47,-1.26,0.30
-0.40,-1.45,-0.20,-1.11,-1.32,-0.09
-0.44,-1.46,-0.25,-0.76,-1.37,-0.54
-0.47,-1.38,-0.48,-0.76,-1.44,-0.85
-0.42,-1.28,-0.52,-0.53,-0.98,-1.15
-0.31,-1.14,-0.57,-0.22,-0.76,-1.50
-0.18,-0.98,-0.57,-0.19,-0.39,-1.58
-0.08,-0.89,-0.59,-0.18,-0.06,-1.51
0.06,-0.74,-0.52,0.08,0.17,-1.42
0.11,-0.70,-0.48,0.01,0.57,-0.99
0.11,-0.70,-0.44,0.01,0.94,-0.70
0.11,-0.71,-0.37,0.17,1.02,-0.41
0.11,-0.66,-0.28,0.25,1.26,-0.01
0.21,-0.59,-0.21,0.16,1.26,0.18
0.06,-0.70,-0.08,-0.06,1.70,0.68
0.16,-0.65,-0.08,0.12,1.32,0.72
0.14,-0.67,0.15,0.62,1.27,1.12
0.04,-0.83,0.18,0.14,0.92,1.21
0.03,-0.77,0.37,0.25,1.00,1.25
-0.23,-1.02,0.38,-0.01,0.19,1.64
-0.30,-1.18,0.24,-0.54,-0.07,1.15
-0.31,-1.26,0.05,-0.38,-0.46,0.82
-0.34,-1.29,0.14,0.63,-0.98,0.74
-0.37,-1.31,0.16,0.41,-1.17,0.53
-0.38,-1.36,-0.01,-0.28,-1.23,0.30
-0.35,-1.33,-0.06,-0.39,-1.26,-0.03
-0.36,-1.35,-0.11,-0.37,-1.28,-0.20
-0.39,-1.32,-0.24,-0.63,-1.43,-0.48
-0.35,-1.27,-0.37,-0.55,-1.32,-0.77
-0.36,-1.20,-0.35,-0.39,-1.03,-0.96
-0.36,-1.18,-0.37,-0.34,-0.81,-1.11
-0.22,-1.07,-0.60,-0.45,-0.74,-1.37
-0.15,-0.95,-0.52,-0.26,0.08,-1.38
0.01,-0.78,-0.46,0.05,0.11,-1.38
0.11,-0.69,-0.53,-0.07,0.43,-1.10
0.13,-0.63,-0.44,-0.23,1.21,-0.76
0.16,-0.64,-0.30,0.09,1.45,-0.29
0.07,-0.71,-0.20,0.15,1.55,0.18
0.07,-0.71,-0.11,-0.03,1.65,0.29
0.09,-0.71,-0.07,0.13,1.44,0.52
0.13,-0.65,0.05,0.16,1.57,0.74
0.08,-0.66,0.26,0.43,1.24,1.13
-0.05,-0.79,0.37,0.08,0.93,1.38
-0.11,-0.94,0.20,-0.34,0.31,1.34
-0.18,-1.03,0.22,-0.31,0.16,1.34
-0.20,-1.10,0.22,0.08,-0.29,1.32
-0.39,-1.25,0.18,-0.16,-0.52,1.11
-0.38,-1.29,0.20,-0.08,-0.96,0.92
-0.49,-1.42,0.03,-0.25,-1.08,0.51
